,date,open,close,high,low,volume,code
0,2007-03-01,21.254,19.89,21.666,19.469,1977633.51,601318
1,2007-03-02,19.979,19.728,20.166,19.503,425048.32,601318
2,2007-03-05,19.545,18.865,19.626,18.504,419196.74,601318
3,2007-03-06,18.704,19.235,19.554,18.597,297727.88,601318
4,2007-03-07,19.252,19.758,19.936,19.09,287463.78,601318
5,2007-03-08,19.596,19.52,19.694,19.418,130983.83,601318
6,2007-03-09,19.511,19.354,19.596,19.001,160887.79,601318
7,2007-03-12,19.256,19.005,19.256,18.916,145353.06,601318
8,2007-03-13,19.048,19.082,19.239,18.967,102319.68,601318
9,2007-03-14,18.831,19.103,19.171,18.614,173306.56,601318
10,2007-03-15,19.35,19.112,19.762,19.044,152521.9,601318
11,2007-03-16,19.124,19.218,19.533,18.874,227547.24,601318
12,2007-03-20,19.894,19.46,19.945,19.341,222026.87,601318
13,2007-03-21,19.469,19.171,19.554,19.086,136728.32,601318
14,2007-03-22,19.32,19.282,19.52,19.227,167509.84,601318
15,2007-03-23,19.273,19.197,19.354,19.005,139810.14,601318
16,2007-03-26,19.214,19.528,19.639,19.205,223266.79,601318
17,2007-03-27,19.465,19.516,19.707,19.397,139338.19,601318
18,2007-03-28,19.511,19.8,19.936,19.375,258263.69,601318
19,2007-03-29,19.898,20.149,20.74,19.758,461986.18,601318
20,2007-03-30,19.962,20.0,20.349,19.86,144617.2,601318
21,2007-04-02,20.0,20.57,20.702,20.0,231445.03,601318
22,2007-04-03,20.583,20.493,20.727,20.361,132712.04,601318
23,2007-04-04,20.498,20.315,20.617,20.213,122454.69,601318
24,2007-04-05,20.319,20.37,20.404,20.064,122865.38,601318
25,2007-04-06,20.268,20.408,20.808,20.191,195208.52,601318
26,2007-04-09,20.442,21.939,22.058,20.276,462770.21,601318
27,2007-04-10,21.679,22.453,22.818,21.679,407823.9,601318
28,2007-04-11,22.478,22.759,23.456,22.359,243446.5,601318
29,2007-04-12,22.946,22.716,24.655,22.508,159270.43,601318
30,2007-04-13,22.997,23.392,23.992,22.954,266689.45,601318
